Driver,Team,Grid,Finishpos,FastestLap,AverageTime,pitstops
NOR,McLaren,7.0,8.0,0 days 00:01:38.301000,0 days 00:01:40.450523809,1
MAG,Haas F1 Team,13.0,9.0,0 days 00:01:38.130000,0 days 00:01:40.448590909,1
HUL,Renault,6.0,10.0,0 days 00:01:38.519000,0 days 00:01:40.481906976,2
STR,Racing Point,14.0,11.0,0 days 00:01:38.611000,0 days 00:01:40.643454545,1
KVY,Toro Rosso,19.0,12.0,0 days 00:01:38.228000,0 days 00:01:40.813545454,2
RAI,Alfa Romeo Racing,15.0,13.0,0 days 00:01:38.589000,0 days 00:01:40.942534883,2
GAS,Toro Rosso,16.0,14.0,0 days 00:01:38.606000,0 days 00:01:41.093302325,1
GIO,Alfa Romeo Racing,12.0,15.0,0 days 00:01:38.696000,0 days 00:01:41.284953488,2
KUB,Williams,18.0,16.0,0 days 00:01:42.327000,0 days 00:01:43.874304347,2
RUS,Williams,17.0,17.0,0 days 00:01:41.705000,0 days 00:01:42.571000,0
VET,Ferrari,3.0,18.0,0 days 00:01:38.245000,0 days 00:01:39.117478260,0
RIC,Renault,10.0,19.0,0 days 00:01:41.284000,0 days 00:01:42.898285714,1
GRO,Haas F1 Team,8.0,20.0,,,0
BOT,Mercedes,3.0,1.0,0 days 00:01:31.862000,0 days 00:01:33.685392156,2
VET,Ferrari,1.0,2.0,0 days 00:01:32.122000,0 days 00:01:33.854235294,2
HAM,Mercedes,4.0,3.0,0 days 00:01:30.983000,0 days 00:01:33.692795918,2
ALB,Red Bull Racing,6.0,4.0,0 days 00:01:32.775000,0 days 00:01:34.706740,2
SAI,McLaren,7.0,5.0,0 days 00:01:33.563000,0 days 00:01:35.211509803,1
LEC,Ferrari,2.0,6.0,0 days 00:01:31.611000,0 days 00:01:34.889625,3
GAS,Toro Rosso,9.0,7.0,0 days 00:01:35.321000,0 days 00:01:36.330823529,1
PER,Racing Point,17.0,8.0,0 days 00:01:32.621000,0 days 00:01:35.745510638,2
STR,Racing Point,12.0,9.0,0 days 00:01:34.713000,0 days 00:01:36.268820,1
KVY,Toro Rosso,14.0,10.0,0 days 00:01:33.239000,0 days 00:01:36.078918367,1
NOR,McLaren,8.0,11.0,0 days 00:01:34.116000,0 days 00:01:36.011428571,2
RAI,Alfa Romeo Racing,13.0,12.0,0 days 00:01:33.190000,0 days 00:01:36.190854166,2
GRO,Haas F1 Team,10.0,13.0,0 days 00:01:34.988000,0 days 00:01:36.903100,1
GIO,Alfa Romeo Racing,11.0,14.0,0 days 00:01:32.369000,0 days 00:01:36.637106382,2
MAG,Haas F1 Team,19.0,15.0,0 days 00:01:31.732000,0 days 00:01:36.531454545,2
RUS,Williams,18.0,16.0,0 days 00:01:35.458000,0 days 00:01:37.502938775,1
KUB,Williams,0.0,17.0,0 days 00:01:36.332000,0 days 00:01:38.548000,2
VER,Red Bull Racing,5.0,18.0,0 days 00:01:37.249000,0 days 00:01:37.797076923,0
RIC,Renault,16.0,19.0,0 days 00:01:33.481000,0 days 00:01:35.735979591,1
HUL,Renault,15.0,20.0,0 days 00:01:34.921000,0 days 00:01:36.215700,1
HAM,Mercedes,3.0,1.0,0 days 00:01:19.461000,0 days 00:01:20.872746268,1
VET,Ferrari,2.0,2.0,0 days 00:01:19.381000,0 days 00:01:20.944940298,1
BOT,Mercedes,6.0,3.0,0 days 00:01:19.494000,0 days 00:01:20.802272727,1
LEC,Ferrari,1.0,4.0,0 days 00:01:19.232000,0 days 00:01:20.706060606,2
ALB,Red Bull Racing,5.0,5.0,0 days 00:01:19.325000,0 days 00:01:20.816276923,2
VER,Red Bull Racing,4.0,6.0,0 days 00:01:20.406000,0 days 00:01:21.428835820,1
PER,Racing Point,11.0,7.0,0 days 00:01:20.485000,0 days 00:01:21.898661764,1
RIC,Renault,13.0,8.0,0 days 00:01:20.146000,0 days 00:01:21.908750,1
GAS,Toro Rosso,10.0,9.0,0 days 00:01:19.530000,0 days 00:01:21.877919354,2
HUL,Renault,12.0,10.0,0 days 00:01:20.791000,0 days 00:01:22.254772727,1
KVY,Toro Rosso,9.0,11.0,0 days 00:01:19.905000,0 days 00:01:21.944703125,2
STR,Racing Point,16.0,12.0,0 days 00:01:20.922000,0 days 00:01:22.468835820,1
SAI,McLaren,7.0,13.0,0 days 00:01:20.311000,0 days 00:01:22.000548387,2
GIO,Alfa Romeo Racing,15.0,14.0,0 days 00:01:21.014000,0 days 00:01:22.458656716,1
MAG,Haas F1 Team,17.0,15.0,0 days 00:01:21.682000,0 days 00:01:23.082261538,1
RUS,Williams,19.0,16.0,0 days 00:01:21.286000,0 days 00:01:23.758692307,1
GRO,Haas F1 Team,18.0,17.0,0 days 00:01:21.581000,0 days 00:01:23.748093750,1
KUB,Williams,20.0,18.0,0 days 00:01:20.696000,0 days 00:01:23.549131147,2
RAI,Alfa Romeo Racing,14.0,19.0,0 days 00:01:20.082000,0 days 00:01:22.655745098,2
NOR,McLaren,8.0,20.0,0 days 00:01:21.643000,0 days 00:01:23.308795454,1
BOT,Mercedes,1.0,1.0,0 days 00:01:36.957000,0 days 00:01:39.947166666,2
HAM,Mercedes,5.0,2.0,0 days 00:01:38.446000,0 days 00:01:40.372963636,1
VER,Red Bull Racing,3.0,3.0,0 days 00:01:38.214000,0 days 00:01:40.064259259,2
LEC,Ferrari,4.0,4.0,0 days 00:01:36.169000,0 days 00:01:40.533058823,2
ALB,Red Bull Racing,6.0,5.0,0 days 00:01:38.029000,0 days 00:01:40.668326923,3
RIC,Renault,9.0,6.0,0 days 00:01:40.564000,0 days 00:01:41.918654545,1
NOR,McLaren,8.0,7.0,0 days 00:01:38.074000,0 days 00:01:41.461584905,2
SAI,McLaren,7.0,8.0,0 days 00:01:40.844000,0 days 00:01:42.173075471,1
HUL,Renault,11.0,9.0,0 days 00:01:38.437000,0 days 00:01:41.804450980,2
PER,Racing Point,0.0,10.0,0 days 00:01:40.165000,0 days 00:01:42.275056603,1
RAI,Alfa Romeo Racing,17.0,11.0,0 days 00:01:39.608000,0 days 00:01:42.021615384,2
KVY,Toro Rosso,13.0,12.0,0 days 00:01:38.969000,0 days 00:01:41.864153846,2
STR,Racing Point,14.0,13.0,0 days 00:01:40.380000,0 days 00:01:42.298403846,2
GIO,Alfa Romeo Racing,16.0,14.0,0 days 00:01:39.964000,0 days 00:01:42.601076923,2
GRO,Haas F1 Team,15.0,15.0,0 days 00:01:41.270000,0 days 00:01:43.220716981,1
GAS,Toro Rosso,10.0,16.0,0 days 00:01:40.850000,0 days 00:01:42.416000,2
RUS,Williams,18.0,17.0,0 days 00:01:41.239000,0 days 00:01:43.833411764,2
MAG,Haas F1 Team,12.0,18.0,0 days 00:01:40.347000,0 days 00:01:42.860346938,2
KUB,Williams,19.0,19.0,0 days 00:01:43.830000,0 days 00:01:45.395724137,1
VET,Ferrari,2.0,20.0,0 days 00:01:42.165000,0 days 00:01:43.304285714,0
VER,Red Bull Racing,1.0,1.0,0 days 00:01:10.862000,0 days 00:01:12.673553571,3
GAS,Toro Rosso,6.0,2.0,0 days 00:01:12.425000,0 days 00:01:14.186472727,2
SAI,McLaren,20.0,3.0,0 days 00:01:13.158000,0 days 00:01:14.714913793,1
RAI,Alfa Romeo Racing,8.0,4.0,0 days 00:01:13.135000,0 days 00:01:14.370054545,2
GIO,Alfa Romeo Racing,12.0,5.0,0 days 00:01:13.020000,0 days 00:01:14.509964285,2
RIC,Renault,11.0,6.0,0 days 00:01:12.733000,0 days 00:01:14.268875,2
HAM,Mercedes,3.0,7.0,0 days 00:01:11.082000,0 days 00:01:12.865339285,3
NOR,McLaren,10.0,8.0,0 days 00:01:12.328000,0 days 00:01:14.756245614,2
PER,Racing Point,15.0,9.0,0 days 00:01:12.840000,0 days 00:01:14.575107142,2
KVY,Toro Rosso,16.0,10.0,0 days 00:01:12.385000,0 days 00:01:14.628611111,2
MAG,Haas F1 Team,9.0,11.0,0 days 00:01:13.262000,0 days 00:01:14.818444444,2
RUS,Williams,18.0,12.0,0 days 00:01:13.752000,0 days 00:01:15.878372881,3
GRO,Haas F1 Team,7.0,13.0,0 days 00:01:13.619000,0 days 00:01:15.011362068,2
ALB,Red Bull Racing,5.0,14.0,0 days 00:01:11.087000,0 days 00:01:13.388166666,2
HUL,Renault,13.0,15.0,0 days 00:01:12.934000,0 days 00:01:14.944553571,3
KUB,Williams,19.0,16.0,0 days 00:01:14.553000,0 days 00:01:16.556785714,4
VET,Ferrari,2.0,17.0,0 days 00:01:11.384000,0 days 00:01:13.139277777,2
LEC,Ferrari,14.0,18.0,0 days 00:01:11.423000,0 days 00:01:13.695053571,2
STR,Racing Point,17.0,19.0,0 days 00:01:12.603000,0 days 00:01:14.847563636,2
BOT,Mercedes,4.0,20.0,0 days 00:01:10.698000,0 days 00:01:13.574543478,2
HAM,Mercedes,1.0,1.0,0 days 00:01:39.283000,0 days 00:01:42.275407407,1
VER,Red Bull Racing,2.0,2.0,0 days 00:01:41.119000,0 days 00:01:42.595962962,1
LEC,Ferrari,3.0,3.0,0 days 00:01:40.442000,0 days 00:01:42.731150943,2
BOT,Mercedes,20.0,4.0,0 days 00:01:39.715000,0 days 00:01:42.733784313,1
VET,Ferrari,4.0,5.0,0 days 00:01:40.128000,0 days 00:01:42.926307692,2
ALB,Red Bull Racing,5.0,6.0,0 days 00:01:42.219000,0 days 00:01:43.426867924,1
PER,Racing Point,10.0,7.0,0 days 00:01:42.639000,0 days 00:01:44.507846153,1
NOR,McLaren,6.0,8.0,0 days 00:01:43.026000,0 days 00:01:44.508346153,1
KVY,Toro Rosso,13.0,9.0,0 days 00:01:42.222000,0 days 00:01:44.492730769,1
SAI,McLaren,8.0,10.0,0 days 00:01:41.294000,0 days 00:01:44.302117647,2
RIC,Renault,7.0,11.0,0 days 00:01:41.190000,0 days 00:01:44.305039215,2
HUL,Renault,9.0,12.0,0 days 00:01:43.274000,0 days 00:01:44.649653846,1
RAI,Alfa Romeo Racing,17.0,13.0,0 days 00:01:43.142000,0 days 00:01:44.754115384,1
MAG,Haas F1 Team,14.0,14.0,0 days 00:01:43.790000,0 days 00:01:45.100942307,1
GRO,Haas F1 Team,15.0,15.0,0 days 00:01:43.666000,0 days 00:01:45.349961538,1
GIO,Alfa Romeo Racing,16.0,16.0,0 days 00:01:43.256000,0 days 00:01:45.226686274,2
RUS,Williams,18.0,17.0,0 days 00:01:43.074000,0 days 00:01:45.767576923,1
GAS,Toro Rosso,11.0,18.0,0 days 00:01:42.414000,0 days 00:01:44.815460,1
KUB,Williams,19.0,19.0,0 days 00:01:44.500000,0 days 00:01:46.384235294,1
STR,Racing Point,12.0,20.0,0 days 00:01:43.326000,0 days 00:01:45.742571428,2
BOT,Mercedes,1.0,1.0,0 days 00:01:07.657000,0 days 00:01:08.851634615,2
LEC,Ferrari,7.0,2.0,0 days 00:01:07.901000,0 days 00:01:09.497360,3
NOR,McLaren,3.0,3.0,0 days 00:01:07.475000,0 days 00:01:09.444060,3
HAM,Mercedes,5.0,4.0,0 days 00:01:07.712000,0 days 00:01:08.789760,2
SAI,McLaren,8.0,5.0,0 days 00:01:07.974000,0 days 00:01:09.676180,3
PER,Racing Point,6.0,6.0,0 days 00:01:08.305000,0 days 00:01:09.473900,2
GAS,AlphaTauri,12.0,7.0,0 days 00:01:09.025000,0 days 00:01:10.229620,2
OCO,Renault,14.0,8.0,0 days 00:01:08.912000,0 days 00:01:10.379000,2
GIO,Alfa Romeo Racing,18.0,9.0,0 days 00:01:08.796000,0 days 00:01:10.580460,3
VET,Ferrari,11.0,10.0,0 days 00:01:08.623000,0 days 00:01:10.296816326,3
LAT,Williams,20.0,11.0,0 days 00:01:09.662000,0 days 00:01:11.201800,3
KVY,AlphaTauri,13.0,12.0,0 days 00:01:09.135000,0 days 00:01:10.539270833,3
ALB,Red Bull Racing,4.0,13.0,0 days 00:01:08.432000,0 days 00:01:09.484244444,3
RAI,Alfa Romeo Racing,19.0,14.0,0 days 00:01:09.031000,0 days 00:01:10.693567567,2
RUS,Williams,17.0,15.0,0 days 00:01:09.317000,0 days 00:01:10.969432432,1
GRO,Haas F1 Team,15.0,16.0,0 days 00:01:10.228000,0 days 00:01:11.304111111,1
MAG,Haas F1 Team,16.0,17.0,0 days 00:01:10.720000,0 days 00:01:11.430222222,0
STR,Racing Point,9.0,18.0,0 days 00:01:10.326000,0 days 00:01:11.072250,0
RIC,Renault,10.0,19.0,0 days 00:01:10.610000,0 days 00:01:10.946800,0
VER,Red Bull Racing,2.0,20.0,0 days 00:01:09.351000,0 days 00:01:09.951333333,0
HAM,Mercedes,1.0,1.0,0 days 00:01:06.719000,0 days 00:01:08.210924242,1
BOT,Mercedes,4.0,2.0,0 days 00:01:07.534000,0 days 00:01:08.382378787,1
VER,Red Bull Racing,2.0,3.0,0 days 00:01:06.145000,0 days 00:01:08.365936507,2
ALB,Red Bull Racing,6.0,4.0,0 days 00:01:07.109000,0 days 00:01:08.810015151,1
NOR,McLaren,9.0,5.0,0 days 00:01:07.193000,0 days 00:01:08.985415384,1
PER,Racing Point,17.0,6.0,0 days 00:01:07.188000,0 days 00:01:08.884415384,1
STR,Racing Point,12.0,7.0,0 days 00:01:07.833000,0 days 00:01:09.138761194,1
RIC,Renault,8.0,8.0,0 days 00:01:07.832000,0 days 00:01:09.152776119,1
SAI,McLaren,3.0,9.0,0 days 00:01:05.619000,0 days 00:01:08.970456140,2
KVY,AlphaTauri,13.0,10.0,0 days 00:01:08.378000,0 days 00:01:09.643590909,1
RAI,Alfa Romeo Racing,16.0,11.0,0 days 00:01:08.382000,0 days 00:01:09.696461538,1
MAG,Haas F1 Team,15.0,12.0,0 days 00:01:08.009000,0 days 00:01:09.736600,1
GRO,Haas F1 Team,0.0,13.0,0 days 00:01:08.047000,0 days 00:01:09.629187500,1
GIO,Alfa Romeo Racing,19.0,14.0,0 days 00:01:08.512000,0 days 00:01:09.793846153,1
GAS,AlphaTauri,7.0,15.0,0 days 00:01:07.827000,0 days 00:01:09.725793650,2
RUS,Williams,11.0,16.0,0 days 00:01:08.601000,0 days 00:01:10.123793650,1
LAT,Williams,18.0,17.0,0 days 00:01:08.806000,0 days 00:01:10.260888888,1
OCO,Renault,5.0,18.0,0 days 00:01:09.321000,0 days 00:01:10.272045454,0
LEC,Ferrari,14.0,19.0,0 days 00:01:32.548000,0 days 00:01:33.833000,1
VET,Ferrari,10.0,20.0,0 days 00:01:41.037000,0 days 00:01:41.037000,0
HAM,Mercedes,1.0,1.0,0 days 00:01:16.627000,0 days 00:01:20.479945454,3
VER,Red Bull Racing,7.0,2.0,0 days 00:01:19.184000,0 days 00:01:21.042238095,2
BOT,Mercedes,2.0,3.0,0 days 00:01:17.665000,0 days 00:01:20.322403508,3
STR,Racing Point,3.0,4.0,0 days 00:01:18.973000,0 days 00:01:21.346508196,3
ALB,Red Bull Racing,13.0,5.0,0 days 00:01:19.440000,0 days 00:01:21.788655737,2
VET,Ferrari,5.0,6.0,0 days 00:01:20.363000,0 days 00:01:21.997426229,2
PER,Racing Point,4.0,7.0,0 days 00:01:20.090000,0 days 00:01:21.961459016,2
RIC,Renault,11.0,8.0,0 days 00:01:19.532000,0 days 00:01:21.869389830,2
SAI,McLaren,9.0,9.0,0 days 00:01:19.457000,0 days 00:01:22.037948275,2
MAG,Haas F1 Team,0.0,10.0,0 days 00:01:20.477000,0 days 00:01:22.333459016,1
LEC,Ferrari,6.0,11.0,0 days 00:01:20.821000,0 days 00:01:22.599967741,2
KVY,AlphaTauri,17.0,12.0,0 days 00:01:20.946000,0 days 00:01:22.446491803,2
NOR,McLaren,8.0,13.0,0 days 00:01:19.945000,0 days 00:01:22.404483333,2
OCO,Renault,14.0,14.0,0 days 00:01:20.261000,0 days 00:01:22.378389830,2
RAI,Alfa Romeo Racing,20.0,15.0,0 days 00:01:20.232000,0 days 00:01:22.388152542,2
GRO,Haas F1 Team,0.0,16.0,0 days 00:01:20.889000,0 days 00:01:22.805516129,1
GIO,Alfa Romeo Racing,19.0,17.0,0 days 00:01:20.096000,0 days 00:01:22.011727272,3
RUS,Williams,12.0,18.0,0 days 00:01:19.984000,0 days 00:01:22.107226415,3
LAT,Williams,15.0,19.0,0 days 00:01:21.198000,0 days 00:01:23.917595744,5
GAS,AlphaTauri,10.0,20.0,0 days 00:01:23.939000,0 days 00:01:26.088300,1
HAM,Mercedes,1.0,1.0,0 days 00:01:29.238000,0 days 00:01:30.157585365,1
VER,Red Bull Racing,3.0,2.0,0 days 00:01:27.097000,0 days 00:01:30.374125,2
LEC,Ferrari,4.0,3.0,0 days 00:01:29.813000,0 days 00:01:31.346300,1
RIC,Renault,8.0,4.0,0 days 00:01:29.482000,0 days 00:01:31.464250,1
NOR,McLaren,5.0,5.0,0 days 00:01:30.058000,0 days 00:01:31.549775,1
OCO,Renault,9.0,6.0,0 days 00:01:29.491000,0 days 00:01:31.676700,1
GAS,AlphaTauri,11.0,7.0,0 days 00:01:29.603000,0 days 00:01:31.675948717,1
ALB,Red Bull Racing,12.0,8.0,0 days 00:01:28.689000,0 days 00:01:30.640722222,2
STR,Racing Point,6.0,9.0,0 days 00:01:30.475000,0 days 00:01:31.921950,1
VET,Ferrari,10.0,10.0,0 days 00:01:30.537000,0 days 00:01:32.066975,1
BOT,Mercedes,2.0,11.0,0 days 00:01:29.265000,0 days 00:01:30.328100,2
RUS,Williams,20.0,12.0,0 days 00:01:30.862000,0 days 00:01:32.174179487,1
SAI,McLaren,7.0,13.0,0 days 00:01:29.948000,0 days 00:01:31.493184210,2
GIO,Alfa Romeo Racing,15.0,14.0,0 days 00:01:30.977000,0 days 00:01:32.251725,1
LAT,Williams,18.0,15.0,0 days 00:01:30.501000,0 days 00:01:32.248153846,1
GRO,Haas F1 Team,17.0,16.0,0 days 00:01:29.782000,0 days 00:01:31.765512820,1
RAI,Alfa Romeo Racing,16.0,17.0,0 days 00:01:29.973000,0 days 00:01:32.721305555,2
KVY,AlphaTauri,19.0,18.0,0 days 00:01:32.443000,0 days 00:01:33.649000,0
MAG,Haas F1 Team,14.0,19.0,0 days 00:01:43.754000,0 days 00:01:43.754000,0
HUL,Racing Point,13.0,20.0,,,0
VER,Red Bull Racing,4.0,1.0,0 days 00:01:29.465000,0 days 00:01:31.191280,2
HAM,Mercedes,2.0,2.0,0 days 00:01:28.451000,0 days 00:01:31.465700,2
BOT,Mercedes,1.0,3.0,0 days 00:01:29.765000,0 days 00:01:31.584700,2
LEC,Ferrari,8.0,4.0,0 days 00:01:30.552000,0 days 00:01:31.939140,1
ALB,Red Bull Racing,9.0,5.0,0 days 00:01:29.477000,0 days 00:01:31.786857142,2
STR,Racing Point,6.0,6.0,0 days 00:01:30.379000,0 days 00:01:31.967775510,2
HUL,Racing Point,3.0,7.0,0 days 00:01:30.087000,0 days 00:01:31.942489795,3
OCO,Renault,14.0,8.0,0 days 00:01:30.575000,0 days 00:01:32.670980,1
NOR,McLaren,10.0,9.0,0 days 00:01:30.698000,0 days 00:01:32.274285714,2
KVY,AlphaTauri,16.0,10.0,0 days 00:01:30.738000,0 days 00:01:32.343551020,2
GAS,AlphaTauri,7.0,11.0,0 days 00:01:30.092000,0 days 00:01:32.387387755,2
VET,Ferrari,11.0,12.0,0 days 00:01:30.785000,0 days 00:01:32.382979591,2
SAI,McLaren,12.0,13.0,0 days 00:01:30.556000,0 days 00:01:32.341918367,2
RIC,Renault,5.0,14.0,0 days 00:01:31.168000,0 days 00:01:32.492456521,3
RAI,Alfa Romeo Racing,20.0,15.0,0 days 00:01:31.756000,0 days 00:01:33.601795918,1
GRO,Haas F1 Team,13.0,16.0,0 days 00:01:30.793000,0 days 00:01:33.190208333,2
GIO,Alfa Romeo Racing,19.0,17.0,0 days 00:01:31.826000,0 days 00:01:33.430437500,2
RUS,Williams,15.0,18.0,0 days 00:01:31.408000,0 days 00:01:33.058680851,3
LAT,Williams,18.0,19.0,0 days 00:01:29.950000,0 days 00:01:33.012673913,3
MAG,Haas F1 Team,17.0,20.0,0 days 00:01:31.830000,0 days 00:01:33.975615384,2
HAM,Mercedes,1.0,1.0,0 days 00:01:19.822000,0 days 00:01:22.707290322,2
VER,Red Bull Racing,3.0,2.0,0 days 00:01:21.477000,0 days 00:01:23.117758064,2
BOT,Mercedes,2.0,3.0,0 days 00:01:18.183000,0 days 00:01:22.480700,3
STR,Racing Point,5.0,4.0,0 days 00:01:22.024000,0 days 00:01:24.252500,2
PER,Racing Point,4.0,5.0,0 days 00:01:22.515000,0 days 00:01:24.545612903,1
SAI,McLaren,7.0,6.0,0 days 00:01:21.771000,0 days 00:01:24.296516666,2
VET,Ferrari,11.0,7.0,0 days 00:01:22.707000,0 days 00:01:24.772000,1
ALB,Red Bull Racing,6.0,8.0,0 days 00:01:22.194000,0 days 00:01:24.540716666,2
GAS,AlphaTauri,10.0,9.0,0 days 00:01:22.543000,0 days 00:01:24.559344262,2
NOR,McLaren,8.0,10.0,0 days 00:01:22.392000,0 days 00:01:24.568213114,2
RIC,Renault,13.0,11.0,0 days 00:01:22.464000,0 days 00:01:24.745262295,1
KVY,AlphaTauri,12.0,12.0,0 days 00:01:22.336000,0 days 00:01:24.468233333,2
OCO,Renault,15.0,13.0,0 days 00:01:22.174000,0 days 00:01:24.975596774,1
RAI,Alfa Romeo Racing,14.0,14.0,0 days 00:01:21.888000,0 days 00:01:24.629103448,2
MAG,Haas F1 Team,16.0,15.0,0 days 00:01:23.474000,0 days 00:01:25.144564516,1
GIO,Alfa Romeo Racing,20.0,16.0,0 days 00:01:21.801000,0 days 00:01:24.803016949,2
RUS,Williams,18.0,17.0,0 days 00:01:22.503000,0 days 00:01:25.142836065,2
LAT,Williams,19.0,18.0,0 days 00:01:22.030000,0 days 00:01:24.869345454,2
GRO,Haas F1 Team,17.0,19.0,0 days 00:01:20.409000,0 days 00:01:24.603025,2
LEC,Ferrari,9.0,20.0,0 days 00:01:23.968000,0 days 00:01:25.436606060,1
HAM,Mercedes,1.0,1.0,0 days 00:01:47.758000,0 days 00:01:49.023050,1
BOT,Mercedes,2.0,2.0,0 days 00:01:47.983000,0 days 00:01:49.274050,1
VER,Red Bull Racing,3.0,3.0,0 days 00:01:48.305000,0 days 00:01:49.545725,1
RIC,Renault,4.0,4.0,0 days 00:01:47.483000,0 days 00:01:49.634564102,1
OCO,Renault,6.0,5.0,0 days 00:01:48.540000,0 days 00:01:50.223179487,1
ALB,Red Bull Racing,5.0,6.0,0 days 00:01:48.736000,0 days 00:01:50.300794871,1
NOR,McLaren,10.0,7.0,0 days 00:01:48.552000,0 days 00:01:50.420368421,1
GAS,AlphaTauri,12.0,8.0,0 days 00:01:47.839000,0 days 00:01:50.116837837,1
STR,Racing Point,9.0,9.0,0 days 00:01:49.136000,0 days 00:01:50.616435897,1
PER,Racing Point,8.0,10.0,0 days 00:01:48.389000,0 days 00:01:50.473394736,1
KVY,AlphaTauri,11.0,11.0,0 days 00:01:49.832000,0 days 00:01:51.115289473,1
RAI,Alfa Romeo Racing,16.0,12.0,0 days 00:01:49.822000,0 days 00:01:51.202263157,1
VET,Ferrari,14.0,13.0,0 days 00:01:49.958000,0 days 00:01:51.247421052,1
LEC,Ferrari,13.0,14.0,0 days 00:01:47.840000,0 days 00:01:50.929783783,2
GRO,Haas F1 Team,17.0,15.0,0 days 00:01:50.018000,0 days 00:01:51.375105263,1
LAT,Williams,19.0,16.0,0 days 00:01:48.048000,0 days 00:01:51.200270270,2
MAG,Haas F1 Team,20.0,17.0,0 days 00:01:48.083000,0 days 00:01:51.220055555,2
GIO,Alfa Romeo Racing,18.0,18.0,0 days 00:01:51.793000,0 days 00:01:52.675625,0
RUS,Williams,15.0,19.0,0 days 00:01:51.754000,0 days 00:01:52.781750,0
SAI,McLaren,7.0,20.0,,,0
GAS,AlphaTauri,10.0,1.0,0 days 00:01:24.037000,0 days 00:01:25.249651162,2
SAI,McLaren,3.0,2.0,0 days 00:01:23.882000,0 days 00:01:25.045222222,2
STR,Racing Point,8.0,3.0,0 days 00:01:23.897000,0 days 00:01:25.197454545,1
NOR,McLaren,6.0,4.0,0 days 00:01:24.232000,0 days 00:01:25.265133333,2
BOT,Mercedes,2.0,5.0,0 days 00:01:23.961000,0 days 00:01:25.256409090,2
RIC,Renault,7.0,6.0,0 days 00:01:23.898000,0 days 00:01:25.255181818,2
HAM,Mercedes,1.0,7.0,0 days 00:01:22.746000,0 days 00:01:24.434318181,3
OCO,Renault,12.0,8.0,0 days 00:01:24.490000,0 days 00:01:25.578931818,2
KVY,AlphaTauri,11.0,9.0,0 days 00:01:24.479000,0 days 00:01:25.702090909,2
PER,Racing Point,4.0,10.0,0 days 00:01:24.336000,0 days 00:01:25.665355555,2
LAT,Williams,20.0,11.0,0 days 00:01:24.999000,0 days 00:01:26.327976744,2
GRO,Haas F1 Team,16.0,12.0,0 days 00:01:24.785000,0 days 00:01:26.189522727,2
RAI,Alfa Romeo Racing,14.0,13.0,0 days 00:01:24.835000,0 days 00:01:26.231906976,2
RUS,Williams,19.0,14.0,0 days 00:01:24.421000,0 days 00:01:26.209227272,2
ALB,Red Bull Racing,9.0,15.0,0 days 00:01:24.888000,0 days 00:01:26.071250,2
GIO,Alfa Romeo Racing,18.0,16.0,0 days 00:01:24.856000,0 days 00:01:26.124046511,3
VER,Red Bull Racing,5.0,17.0,0 days 00:01:25.539000,0 days 00:01:26.662772727,2
LEC,Ferrari,13.0,18.0,0 days 00:01:26.026000,0 days 00:01:26.645937500,1
MAG,Haas F1 Team,15.0,19.0,0 days 00:01:25.787000,0 days 00:01:26.206333333,1
VET,Ferrari,17.0,20.0,0 days 00:01:27.107000,0 days 00:01:27.751500,0
HAM,Mercedes,1.0,1.0,0 days 00:01:18.833000,0 days 00:01:22.177688888,5
BOT,Mercedes,2.0,2.0,0 days 00:01:19.432000,0 days 00:01:22.367818181,5
ALB,Red Bull Racing,4.0,3.0,0 days 00:01:20.039000,0 days 00:01:22.740069767,5
RIC,Renault,8.0,4.0,0 days 00:01:20.426000,0 days 00:01:22.817046511,5
PER,Racing Point,7.0,5.0,0 days 00:01:20.632000,0 days 00:01:23.212000,5
NOR,McLaren,11.0,6.0,0 days 00:01:21.198000,0 days 00:01:23.276627906,5
KVY,AlphaTauri,12.0,7.0,0 days 00:01:21.458000,0 days 00:01:23.475785714,5
LEC,Ferrari,5.0,8.0,0 days 00:01:21.229000,0 days 00:01:23.629463414,5
RAI,Alfa Romeo Racing,13.0,9.0,0 days 00:01:21.164000,0 days 00:01:23.942780487,6
VET,Ferrari,14.0,10.0,0 days 00:01:21.202000,0 days 00:01:23.981190476,6
RUS,Williams,18.0,11.0,0 days 00:01:21.645000,0 days 00:01:24.039071428,5
GRO,Haas F1 Team,15.0,12.0,0 days 00:01:22.263000,0 days 00:01:24.869390243,5
STR,Racing Point,6.0,13.0,0 days 00:01:22.068000,0 days 00:01:23.601419354,3
OCO,Renault,10.0,14.0,0 days 00:02:03.478000,0 days 00:02:07.635500,1
LAT,Williams,19.0,15.0,0 days 00:02:09.418000,0 days 00:02:13.227600,0
MAG,Haas F1 Team,20.0,16.0,0 days 00:02:08.433000,0 days 00:02:13.577750,0
GIO,Alfa Romeo Racing,17.0,17.0,0 days 00:02:10.612000,0 days 00:02:13.861750,0
SAI,McLaren,9.0,18.0,0 days 00:02:14.103000,0 days 00:02:15.890800,0
VER,Red Bull Racing,3.0,19.0,,,0
GAS,AlphaTauri,16.0,20.0,,,0
BOT,Mercedes,3.0,1.0,0 days 00:01:37.030000,0 days 00:01:39.320977777,1
VER,Red Bull Racing,2.0,2.0,0 days 00:01:37.332000,0 days 00:01:39.486333333,1
HAM,Mercedes,1.0,3.0,0 days 00:01:38.075000,0 days 00:01:39.709500,1
